entity_id,state,last_changed
sensor.available_current_l1,15,2025-05-01T13:07:50.501Z
sensor.available_current_l1,16,2025-05-01T13:07:52.533Z
sensor.available_current_l1,14,2025-05-01T13:08:17.913Z
sensor.available_current_l1,13,2025-05-01T13:08:18.914Z
sensor.available_current_l1,16,2025-05-01T13:08:20.136Z
sensor.available_current_l1,15,2025-05-01T13:08:45.821Z
sensor.available_current_l1,10,2025-05-01T13:08:46.822Z
sensor.available_current_l1,15,2025-05-01T13:08:47.823Z
sensor.available_current_l1,16,2025-05-01T13:08:52.495Z
sensor.available_current_l1,15,2025-05-01T13:08:58.514Z
sensor.available_current_l1,10,2025-05-01T13:08:59.515Z
sensor.available_current_l1,9,2025-05-01T13:09:00.591Z
sensor.available_current_l1,10,2025-05-01T13:09:03.600Z
sensor.available_current_l1,9,2025-05-01T13:09:05.602Z
sensor.available_current_l1,16,2025-05-01T13:09:09.814Z
sensor.available_current_l1,14,2025-05-01T13:09:15.921Z
sensor.available_current_l1,9,2025-05-01T13:09:16.923Z
sensor.available_current_l1,11,2025-05-01T13:09:28.008Z
sensor.available_current_l1,9,2025-05-01T13:09:29.018Z
sensor.available_current_l1,10,2025-05-01T13:09:31.477Z
sensor.available_current_l1,14,2025-05-01T13:09:32.607Z
sensor.available_current_l1,16,2025-05-01T13:09:33.794Z
sensor.available_current_l1,14,2025-05-01T13:11:08.576Z
sensor.available_current_l1,16,2025-05-01T13:11:09.736Z
sensor.available_current_l1,15,2025-05-01T13:11:52.757Z
sensor.available_current_l1,16,2025-05-01T13:11:55.003Z
sensor.available_current_l1,13,2025-05-01T13:12:37.894Z
sensor.available_current_l1,16,2025-05-01T13:12:38.895Z
sensor.available_current_l1,15,2025-05-01T13:13:22.833Z
sensor.available_current_l1,16,2025-05-01T13:13:23.840Z
sensor.available_current_l1,15,2025-05-01T13:14:01.519Z
sensor.available_current_l1,16,2025-05-01T13:14:02.808Z
sensor.available_current_l1,14,2025-05-01T13:14:06.874Z
sensor.available_current_l1,16,2025-05-01T13:14:08.149Z
sensor.available_current_l1,15,2025-05-01T13:14:43.112Z
sensor.available_current_l1,14,2025-05-01T13:14:45.575Z
sensor.available_current_l1,15,2025-05-01T13:14:52.890Z
sensor.available_current_l1,14,2025-05-01T13:14:57.931Z
sensor.available_current_l1,13,2025-05-01T13:15:02.873Z
sensor.available_current_l1,14,2025-05-01T13:15:07.447Z
sensor.available_current_l1,13,2025-05-01T13:15:16.988Z
sensor.available_current_l1,14,2025-05-01T13:15:23.125Z
sensor.available_current_l1,15,2025-05-01T13:15:27.118Z
sensor.available_current_l1,16,2025-05-01T13:15:41.853Z
sensor.available_current_l1,15,2025-05-01T13:15:43.993Z
sensor.available_current_l1,16,2025-05-01T13:15:49.006Z
sensor.available_current_l1,15,2025-05-01T13:15:58.953Z
sensor.available_current_l1,16,2025-05-01T13:16:00.044Z
sensor.available_current_l1,15,2025-05-01T13:16:41.439Z
sensor.available_current_l1,14,2025-05-01T13:16:42.440Z
sensor.available_current_l1,12,2025-05-01T13:16:43.840Z
sensor.available_current_l1,14,2025-05-01T13:16:45.266Z
sensor.available_current_l1,13,2025-05-01T13:16:46.484Z
sensor.available_current_l1,12,2025-05-01T13:16:50.237Z
sensor.available_current_l1,11,2025-05-01T13:16:55.265Z
sensor.available_current_l1,12,2025-05-01T13:16:56.435Z
sensor.available_current_l1,11,2025-05-01T13:17:10.571Z
